"","bmr_dem","bmr_demdur","gol_enep","gol_est","gpi_gpi","ht_region","nelda_mbbe","nelda_mtop","nelda_oa","nelda_rpae","top_top10_income_share","top_top1_income_share","vdem_corr","vdem_libdem","vdem_mecorrpt","wdi_acel","wdi_acelr","wdi_acelu","wdi_afp","wdi_agedr","wdi_araland","wdi_area","wdi_birth","wdi_bribfirm","wdi_broadb","wdi_busden","wdi_co2","wdi_death","wdi_debt","wdi_emp","wdi_empagr","wdi_empagrf","wdi_empagrm","wdi_empind","wdi_empindf","wdi_empindm","wdi_empser","wdi_empserf","wdi_empserm","wdi_expedu","wdi_expedut","wdi_expmil","wdi_fdiin","wdi_fdiout","wdi_fertility","wdi_firftopm","wdi_firgifttax","wdi_forest","wdi_gdpagr","wdi_gdpcapcon2015","wdi_gdpind","wdi_gini","wdi_homicides","wdi_infpay","wdi_internet","wdi_lfpf","wdi_lifexp","wdi_lifexpf","wdi_lifexpm","wdi_litrad","wdi_litradf","wdi_litradm","wdi_litry","wdi_migration","wdi_nerp","wdi_ners","wdi_pop","wdi_pop14","wdi_pop1564","wdi_pop65","wdi_popden","wdi_poprul","wdi_popurb","wdi_refasy","wdi_refori","wdi_semp","wdi_smokf","wdi_smokm","wdi_taxrev","wdi_tele","wdi_trade","wdi_unempfilo","wdi_unempilo","wdi_unempmilo","wdi_unempyfilo","wdi_unempyilo","wdi_unempymilo","wdi_wip","fhp_score5","fhp_status5","gd_ptsa","wdi_gdpcappppcon2017"
"1","Non-democracy",221,NA,NA,3.663,"South Asia","No","Yes","Yes","Yes",0.4101,0.1508,0.397,0.034,1.312,97.7,97.1,99.5,1.81204522469526,84.5992570171333,12.0034343713107,652230,35.842,NA,0.0664243,0.220291007823114,0.140630315688525,7.344,NA,1.59642292353191,46.5878230132384,53.1999677701088,45.2434809941527,18.6353431394595,27.1031802557384,16.9137333937708,34.7768338473021,19.6968519741528,37.8427709853869,NA,NA,1.827933856217,0.144401085222495,0.215827015949845,4.643,NA,NA,1.85278199408184,33.5976188725451,407.616505242601,14.2736570191788,NA,4.02249785795131,NA,18.4,17.927683786822,61.982,65.279,58.915,37,23,52,56,-183672,NA,50.1407,40099462,43.424542703341,54.1713988581692,2.40405843848977,61.4805544056544,73.686,26.314,66949,2712869,82.2807934526421,7.2,39.4,NA,0.364,51.4117163747271,16.871,11.934,10.856,21.413,16.385,15.008,27.0161290322581,60,"Partly Free",5,2079.921875
"2","Democracy",24,2.9440339152707,"Proportional",1.796,"Eastern Europe & post-Soviet (incl. Central Asia)",NA,NA,NA,NA,0.3204,0.0827,0.609,0.439,2.123,100,100,100,0.58835815714458,48.1832229557306,21.8941605839416,27400,10.24,36.1,19.6304,1.73709014211885,1.55004186130216,11.325,82.1135986168626,3.05381900577884,35.640847997783,40.8522571995062,31.4727313002161,21.1775301779296,16.6792306098006,24.7752974640557,43.1816218242874,42.4685121906931,43.7519712357283,3.02255988121033,NA,1.22084466120546,6.7961408036867,0.27852758401745,1.39,18.1,34.6,28.7919708029197,18.3581252459328,4857.11194201819,20.7469849089846,29.4,2.31196864129807,31.6,79.3237,44.3102848383972,76.463,79.173,74.087,98.5,98.3000030517578,98.6999969482422,99.5,-10612,94.52966,86.60827,2811666,16.2817238878905,67.4840351559353,16.2342409561742,102.615547445255,37.031,62.969,109,19847,53.4237788228774,6,38.8,18.1985959060486,6.94,76.0179821075752,12.216,12.473,12.677,28.41,29.43,30.116,35.7142857142857,51,"Partly Free",2,13655.6650390625
"3","Non-democracy",59,NA,NA,2.174,"North Africa & Middle East (incl. Israel, Turkey, Cyprus)","Yes","Yes","Yes","Yes",0.5013,0.2327,0.693,0.137,2.786,99.8,99.3,100,2.74380149151702,58.4637314615723,3.16180474703169,2381741,21.524,NA,9.33184,0.607125492509303,4.0471846951588,4.546,NA,3.98437776081365,10.0330984152051,3.67840405353997,11.3908375236378,30.94291440086,24.0333586050038,32.4192024667053,59.0239871839349,72.2881833805941,56.1899484804108,5.51403284072876,NA,5.58544666775166,0.466642750804028,-0.0277990999636716,2.889,NA,NA,0.822227647758509,11.2334026305213,4515.57399918347,36.3169164014046,NA,1.57318234314011,NA,66.2356,19.7283279065188,76.377,77.959,74.879,81.4078369140625,74.2101974487305,87.4229583740234,74.0299987792969,-18797,97.63517,NA,44177969,30.7120765410478,63.1059234876316,6.18199997132055,18.5486033116111,25.739,74.261,97890,6003,31.1954415724911,0.7,41.3,NA,11.4,47.2709030076405,22.832,13.607,11.34,50.135,33.7,30.104,8.10810810810811,65,"Not Free",4,11627.2802734375
"4","Democracy",27,4.01704835321103,"Mixed",NA,"Western Europe & North America (incl. Australia & New Zealand)","No","Yes","Yes","No",0.3557,0.1141,NA,NA,NA,100,100,100,NA,38.1405998741523,1.59063829787234,470,6.2,NA,50.2769,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58397221565247,5.64106,NA,NA,NA,NA,NA,NA,34.0425531914894,0.533617929562433,36616.1007608814,12.3657061543935,NA,2.57400257400257,NA,93.8975,NA,NA,NA,NA,NA,NA,NA,NA,1377,NA,NA,79034,13.0747526381051,72.3897310018473,14.5355163600476,168.157446808511,12.142,87.858,NA,5,NA,28.3,35.3,NA,63.5,NA,NA,NA,NA,NA,NA,NA,46.4285714285714,15,"Free",1,49609.9202257061
"5","Non-democracy",46,NA,NA,2.01,"Sub-Saharan Africa",NA,NA,NA,NA,0.58,0.2596,0.51,0.169,1.305,48.2,7.3,75,0.852243549354007,91.4739484069112,4.30977781342745,1246700,38.809,NA,0.390925,1.25203659774529,0.624876571473022,8.009,NA,4.5978794714612,56.7075062685015,61.2708418916079,52.1159736685283,5.7175689214527,1.10851307485787,10.3551146414588,37.5749248100458,37.6206614260793,37.5289116900129,2.2971088886261,NA,1.28992265308256,-6.54854227564072,-1.58990831014936,5.304,NA,NA,52.9817223871019,11.4863453766476,2387.42990701717,47.5244095549704,51.3,NA,NA,37.8067,50.1420640391627,61.643,64.307,59.029,72.4000015258789,62.5,82.8000030517578,83.3000030517578,29089,NA,NA,34503774,45.1791048303746,52.2264253212768,2.59446984834862,27.6760840619235,32.54,67.46,26045,11403,65.1163666385655,NA,NA,10.090385804431,0.348,74.4644985945172,15.781,15.799,15.817,27.514,29.997,32.405,29.5454545454545,73,"Not Free",3,6602.423828125
"6","Democracy",17,2.03328073913821,"Majoritarian",NA,"Caribbean (incl. Belize, Guyana, Suriname)","Unclear","Yes","Yes","No",0.4852,0.2118,NA,NA,NA,100,100,100,NA,40.8716546023303,9.09090909090909,440,12.115,NA,8.66279,3.95931875538362,2.86636844420129,6.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5746488571167,NA,NA,18.1006036013337,-0.964975937099101,1.58,NA,NA,18.3029545454545,2.08201790600159,15921.095120946,20.4929123040736,NA,17.1637908377539,NA,87.074,NA,78.497,80.941,75.775,NA,NA,NA,NA,0,95.69547,88.78981,93219,18.8211693905245,70.9862206941681,10.1926099153074,211.861363636364,75.62,24.38,NA,105,NA,NA,NA,NA,29.2,101.122883462968,NA,NA,NA,NA,NA,NA,11.1111111111111,34,"Partly Free",1.77415079365079,23035.658203125
"7","Democracy",38,2.5841061296522,"Proportional",1.961,"Latin America (incl. Cuba, Haiti, Dominican Rep.)","No","Unclear","Unclear","No",0.4394,0.1297,0.471,0.656,3.023,100,100,100,0.53074751768613,54.2701483886344,15.4232886077707,2736690,13.902,NA,23.15,0.197932871103439,3.96105573461767,8.955,NA,3.56995162545107,7.33360756511422,3.36149301955729,10.2114954677996,20.1055159352886,8.94969483988402,28.1881636552289,72.5608764995971,87.6887996886015,61.6003408769715,4.64117002487183,NA,0.630928835372215,1.36462688641751,0.316428284218765,1.885,NA,NA,10.4007639520735,7.30630885522762,12444.3182669731,23.9172428049615,42.4,4.62267855620475,NA,87.1507,42.5339108158108,75.39,78.647,72.182,NA,NA,NA,NA,2344,NA,NA,45808747,23.3567371619625,64.8213554497471,11.8219073882904,16.7387416916056,7.771,92.229,4050,124,27.5889360816568,19.6,29.4,8.79392955783953,16.8,32.9300242545298,9.849,8.736,7.912,26.671,23.356,20.984,44.7470817120623,46,"Partly Free",1,22071.748046875
"8","Democracy",3,1.94439043359907,"Proportional",2.069,"Eastern Europe & post-Soviet (incl. Central Asia)","No","Yes","Yes","No",0.396,0.15,0.315,0.541,2.244,100,100,99.9,3.38534763918821,49.6288194974977,15.5749912188268,28470,12.049,1.4,16.2566,3.62843885453273,2.4822158859237,13.007,60.080359768226,0.819849319384674,53.1009177239171,65.3028632825516,38.5769570116971,13.8901363623673,4.7630860100311,24.753959448953,33.0089459137156,29.9340507074174,36.6689088256619,2.76784992218018,NA,4.47078156298276,2.64030281211345,0.177202269747598,1.575,19.1,0.1,11.5300316122234,11.3435484176857,4526.59748878641,26.3643404113901,27.9,2.18561731238222,1.1,78.6123,52.755634771885,72.043,77.35,66.554,100,100,100,100,-12825,90.72273,NA,2790974,20.4225514860675,66.8320390716716,12.7454094422609,98.0321039690903,36.569,63.431,34728,12255,62.7317143210398,1.5,49.4,22.0010047423132,14.6,79.6698888228399,7.304,10.012,13.036,19.505,22.362,24.974,33.6448598130841,63,"Not Free",1,14317.552734375
"9","Democracy",120,3.35103798401555,"Majoritarian",1.549,"Western Europe & North America (incl. Australia & New Zealand)","Yes","Yes","Yes","No",0.3291,0.0991,0.031,0.781,3.708,100,100,100,0.441598554382972,53.7101418521078,4.0646020161154,7692020,12.1,NA,35.836,17.9909964237729,15.1084047240511,6.7,69.9077170244066,4.89005504282908,2.49483264299078,1.79249863557819,3.12324063573893,18.9120576504873,8.03164273181675,28.6472230280501,78.593109706522,90.1758746516459,68.229536336211,5.33320999145508,NA,1.98912270035816,1.78341600361351,0.444348398476808,1.7,NA,NA,17.4213145571644,2.30025262087576,59225.5245403582,25.4175760363943,34.3,0.744567483256587,NA,94.9886,47.1699615129658,83.3,85.4,81.3,NA,NA,NA,NA,117929,NA,NA,25685412,18.3733291452377,65.057515523364,16.5691553313983,3.33922844714392,13.638,86.362,55606,16,13.4807274452545,11.5,15.6,23.0272760652611,25.9,39.7023602363157,5.012,5.116,5.209,9.797,11.228,12.608,31.1258278145695,22,"Free",2,49379.09375
"10","Democracy",75,4.19771224682548,"Proportional",1.338,"Western Europe & North America (incl. Australia & New Zealand)","No","Yes","Yes","No",0.3415,0.1069,0.123,0.783,2.969,100,100,100,0.495545156767865,51.1182513489329,15.9932792050412,82520,9.6,1.3,29.2537,0.954550278915306,7.31972821626037,10.3,94.6386773592887,4.76442780290919,3.7348243579283,3.39808971990129,4.03294045561733,25.6264283041388,12.3093021974996,37.4163705520784,70.6387473379329,84.2926080825991,58.5506889923043,5.49411010742188,NA,0.873694846766333,3.70886934393561,6.02001426109014,1.48,18.8,1.5,47.2944740668929,1.21862913223431,44984.4197366909,26.0704865756319,30.7,0.728529506902089,2,92.5292,46.9295765756178,81.190243902439,83.7,78.8,NA,NA,NA,NA,20314,NA,NA,8955797,14.3854932066305,66.1733494491532,19.4411573442163,108.528805138148,41.005,58.995,152514,23,12.8207669270848,25,27.7,25.8506768631894,42.5,110.984958052906,6.403,6.459,6.508,12.359,12.042,11.776,40.4371584699454,22,"Free",2,55806.4375
